所属类别,对应三方回复,zh,en,tl
通用,,正在为您查询中，请不要离开,We're looking into your request now. Kindly stay on this page as we complete the check.,Kasalukuyan naming sinusuri ang inyong request. Mangyaring manatili lamang sa page habang isinasagawa ang beripikasyon.
通用,,这边已为您催促查询，请稍后进线咨询,We've sent a follow-up on your request. Kindly reach out to us again later for any updates.,Nakapag-follow up na po kami tungkol sa inyong concern. Maaari po kayong muling makipag-ugnayan sa amin mamaya para sa update.
充值,,充值成功，请耐心等待,Top-up successful! Please hold on while we complete the processing.,Matagumpay ang inyong top-up! Pakiusap na maghintay lamang habang tinatapos ang proseso
充值,,充值已取消,The deposit transaction has been canceled.,Kanselado na po ang inyong deposit transaction.
充值,,"请求发送GCash INBOX收据
或者  pay mata 充值收据 ",We kindly request a copy of the GCash INBOX confirmation or the PayMaya top-up receipt for verification,Pakiusap po na iprovide ang screenshot ng GCash INBOX confirmation o PayMaya top-up resibo bilang bahagi ng beripikasyon.
充值,没有收到款项,暂未收到该笔款项，请查看账户是否有收到退回,"Hi! Thank you for reaching out. 🙏
We’ve checked with the third-party provider, and no payment has been received on their end as of now.

Once we receive this, we’ll escalate the issue immediately. Thank you for your cooperation!","Hi! Maraming salamat sa iyong pag-contact. 🙏
Na-check na namin sa third-party provider, at sa ngayon ay wala pa silang natatanggap na deposito mula sa iyo.

Kapag natanggap na namin ito, agad naming ipa-follow up ang isyu. Maraming salamat sa iyong pakikipagtulungan!"
充值,收到款项订单已回调,已收到款项，正在为您处理，请稍后查收,"Hello! 👋
We’ve confirmed with the third-party provider that the payment has been received and the order has already been callbacked successfully. ✅

Please try checking your account balance again. If it's still not reflected, kindly share your order number so we can assist further.","Hello! 👋 Nakumpirma na namin sa third-party provider na natanggap na ang bayad at matagumpay na na-callback ang order. ✅

Paki-check muli ang iyong account balance. Kung hindi pa rin ito naka-reflect, paki-bigay po ang iyong order number para matulungan ka namin nang mas maayos."
充值,等待1-7个工作日退款,已与第三方供应商确认，存款失败，将在1-7个工作日内退款。,"Hi! Thank you for your patience.
We’ve confirmed with the third-party provider that the deposit failed and the payment will be refunded within 1–7 working days. 💸

If you don’t receive the funds after this period, please don’t hesitate to reach out again. We're here to assist you anytime. 😊","Hi! Salamat sa iyong pasensya.
Nakumpirma namin sa third-party provider na hindi natuloy ang deposit at ang bayad ay ire-refund sa loob ng 1–7 working days. 💸
Kung hindi mo pa rin matanggap ang funds pagkatapos ng panahong ito, huwag kang mag-atubiling makipag-ugnayan muli. Nandito kami upang tumulong anumang oras. 😊"
充值,提供转账人信息,请提供您转账账户的姓名和卡号，为您做进一步查询处理,"Hello! We’re happy to assist.
To proceed with the investigation, kindly provide the following sender information:
🔹 Full name
🔹 Bank card number

Once we receive this, we’ll immediately coordinate with the third-party provider to verify the transaction. 🙌","Hello! Masaya kaming tumulong.
Upang makapagpatuloy sa imbestigasyon, mangyaring ibigay ang sumusunod na impormasyon ng sender:
🔹 Buong pangalan
🔹 Bank card number
🔹 Reference number ng transfer
Kapag natanggap na namin ito, agad kaming makikipag-ugnayan sa third-party provider upang ma-verify ang transaksyon. 🙌"
提现,,出款处理中，请耐心等待,"Hi! Thank you for reaching out. 🙏
Your withdrawal request is currently being processed. Please wait patiently as we complete the transaction. We’ll notify you once it’s successful.","Hi! Maraming salamat po sa inyong mensahe. 🙏
Kasalukuyan pa pong pinoproseso ang inyong withdrawal request. Mangyaring maghintay lamang sandali habang inaayos ito. Ipapabatid po namin agad sa inyo kapag ito ay successful na."
